File,Frame,X,Y,Z
-,557,-81.544479,-18.803261,-7.155939
-,558,-81.546234,-19.374168,-7.049367
-,559,-81.842819,-19.755283,-6.920533
-,560,-81.912132,-19.957115,-7.126632
-,561,-82.066811,-20.22447,-7.20805
-,562,-82.158226,-20.478037,-7.253119
-,563,-82.223137,-20.743832,-7.469059
-,564,-82.509949,-21.024372,-7.505201
-,565,-82.754356,-21.336288,-7.616395
-,566,-82.924644,-21.603914,-7.913256
-,567,-83.207672,-21.845661,-8.002482
-,568,-83.498337,-22.271641,-8.147591
-,569,-83.821083,-22.647408,-8.275979
-,570,-84.175819,-22.875416,-8.3928
-,571,-84.496048,-22.725883,-8.461296
-,572,-84.768211,-22.583366,-8.520822
-,573,-85.066612,-22.647602,-8.686723
-,574,-85.495056,-22.66922,-8.76476
-,575,-86.004166,-22.915268,-8.940475
-,576,-86.25663,-23.498596,-8.975335
-,577,-86.659515,-23.983667,-9.03863
-,578,-87.062096,-24.371761,-9.416903
-,579,-87.463882,-24.526279,-9.649123
-,580,-87.701897,-24.718456,-9.978418
-,581,-87.868515,-24.837959,-10.168528
-,582,-88.38868,-24.971516,-10.615072
-,583,-88.514038,-25.222641,-11.175555
-,584,-88.715485,-25.564888,-11.797481
-,585,-88.824059,-25.870796,-12.301188
-,586,-89.053757,-26.15769,-12.950834
-,587,-88.928711,-26.509949,-13.525771
-,588,-88.895782,-26.932537,-14.033154
-,589,-88.636292,-27.661163,-14.918287
-,590,-88.042015,-28.322882,-15.361253
-,591,-87.19146,-28.943005,-15.695452
-,592,-85.59864,-30.107597,-15.983196
-,593,-83.156242,-32.007385,-15.933017
-,594,-79.765388,-34.942482,-15.313066
-,595,-74.846199,-38.134369,-13.316296
-,596,-68.100502,-41.524361,-8.86896
-,597,-61.387379,-43.575356,-3.862988
-,598,-55.342014,-43.216915,0.220098
-,599,-50.783779,-40.545052,2.543878
-,600,-46.829853,-36.878712,4.052702
-,601,-44.363289,-32.870022,4.658249
-,602,-42.720932,-29.040117,3.417583
-,603,-42.291485,-25.923651,1.00254
-,604,-43.632214,-23.851187,-2.799229
-,605,-46.173275,-22.204187,-5.748999
-,606,-48.581394,-21.537281,-6.928415
-,607,-51.894249,-21.826355,-6.927742
-,608,-54.832504,-22.677874,-6.329144
-,609,-57.769482,-23.657104,-5.597483
-,610,-60.021915,-24.686497,-5.152891
-,611,-61.78281,-25.664948,-4.921419
-,612,-62.882355,-26.782824,-5.414849
-,613,-63.378063,-27.71764,-5.807465
-,614,-63.775108,-28.461565,-6.591094
-,615,-63.624996,-29.13273,-6.846837
-,616,-63.916687,-30.061466,-7.282822
-,617,-64.669357,-30.658285,-7.795458
-,618,-65.793068,-31.127567,-8.408367
-,619,-66.388313,-31.78075,-8.708283
-,620,-67.157654,-32.240303,-8.725771
-,621,-68.012985,-32.232792,-9.599532
-,622,-69.390114,-31.869802,-10.402954
-,623,-70.434769,-31.198002,-10.934096
-,624,-71.416702,-30.200928,-11.684404
-,625,-72.33886,-28.965128,-12.129218
-,626,-73.241066,-27.642677,-12.497175
-,627,-73.939476,-26.572367,-12.395788
-,628,-74.857552,-25.536499,-12.858916
-,629,-75.349022,-24.757639,-13.327826
-,630,-75.499252,-24.232904,-14.179763
-,631,-75.59288,-23.974213,-14.717896
-,632,-75.537529,-23.772526,-15.392663
-,633,-75.600708,-23.530956,-15.399186
-,634,-75.757645,-23.963562,-15.55793
