File,Frame,X,Y,Z,Reliability
-,452,0.330582,-0.08642,0.04261,0.73
-,453,0.330469,-0.097359,0.042606,0.85
-,454,0.330639,-0.10872,0.042499,0.72
-,455,0.330529,-0.119857,0.042759,0.9
-,456,0.330573,-0.131014,0.042693,0.94
-,457,0.330633,-0.142496,0.042535,0.92
-,458,0.33068,-0.154356,0.042234,0.79
-,459,0.330571,-0.165845,0.042147,0.85
-,460,0.330712,-0.17743,0.042035,0.88
-,461,0.330791,-0.189235,0.04187,0.85
-,462,0.330825,-0.201135,0.041779,0.89
-,463,0.330839,-0.212972,0.041587,0.91
-,464,0.330968,-0.225046,0.041452,0.87
-,465,0.331064,-0.237218,0.041289,0.9
-,466,0.331109,-0.249391,0.041085,0.89
-,467,0.331316,-0.261611,0.041013,1.08
-,468,0.331468,-0.27403,0.041053,1.1
-,469,0.331452,-0.286338,0.040737,0.99
-,470,0.331733,-0.299379,0.040422,0.81
-,471,0.331681,-0.311937,0.040362,0.93
-,472,0.331707,-0.324711,0.040302,0.93
-,473,0.331879,-0.337811,0.0402,0.99
-,474,0.331942,-0.351319,0.040215,0.95
-,475,0.332044,-0.364734,0.040085,0.84
-,476,0.331937,-0.378166,0.040398,0.88
-,477,0.33126,-0.391352,0.040667,1.07
-,478,0.331362,-0.404546,0.04075,1.04
-,479,0.330479,-0.415677,0.039961,0.99
-,480,0.329719,-0.42574,0.037942,0.98
-,481,0.328417,-0.432224,0.036618,0.97
-,482,0.327026,-0.437337,0.035055,0.92
-,483,0.325166,-0.441318,0.032844,1.03
-,484,0.322545,-0.444531,0.029262,0.99
-,485,0.320576,-0.448053,0.024352,0.98
-,486,0.317045,-0.447735,0.023941,1.22
-,487,0.315117,-0.437727,0.033024,1.05
-,488,0.313334,-0.421559,0.043625,1.1
-,489,0.31173,-0.402757,0.05404,1.01
-,490,0.311312,-0.383695,0.063121,0.95
-,491,0.310612,-0.36585,0.070497,0.91
-,492,0.309444,-0.347856,0.076761,1
-,493,0.308283,-0.330343,0.082118,0.81
-,494,0.307149,-0.312542,0.086333,0.71
-,495,0.305453,-0.293893,0.089786,0.82
-,496,0.303284,-0.274238,0.093179,0.69
-,497,0.300547,-0.2531,0.095914,0.65
-,498,0.297288,-0.23104,0.098215,0.74
-,499,0.293143,-0.208159,0.100364,0.75
-,500,0.288187,-0.184996,0.102304,0.67
-,501,0.282969,-0.161796,0.102869,0.76
-,502,0.277702,-0.138516,0.103267,0.79
-,503,0.272465,-0.114968,0.103714,0.87
-,504,0.268204,-0.091518,0.103681,0.72
-,505,0.264198,-0.067543,0.103781,0.84
-,506,0.261393,-0.043844,0.103996,0.92
-,507,0.259282,-0.019973,0.104245,0.8
-,508,0.257433,0.00413,0.10487,0.92
-,509,0.256615,0.028289,0.105597,0.87
-,510,0.256598,0.052267,0.106577,0.78
-,511,0.25698,0.076218,0.107854,0.8
-,512,0.25736,0.099799,0.109481,0.8
-,513,0.257385,0.123164,0.111798,0.83
-,514,0.257201,0.145379,0.114618,0.72
-,515,0.257071,0.167767,0.118796,0.93
-,516,0.256662,0.188518,0.123382,0.78
-,517,0.256978,0.208098,0.128753,0.8
-,518,0.257378,0.226033,0.134661,0.77
-,519,0.258229,0.242337,0.140823,0.86
-,520,0.258622,0.256777,0.146979,0.84
-,521,0.258292,0.268628,0.151965,0.84
-,522,0.257882,0.278507,0.156719,0.98
-,523,0.257502,0.285975,0.160545,0.74
-,524,0.257466,0.290762,0.16349,0.83
-,525,0.258177,0.293212,0.164946,0.75
-,526,0.259444,0.293331,0.164344,0.74
-,527,0.261436,0.29107,0.161971,0.77
-,528,0.264012,0.285927,0.157725,0.83
-,529,0.26766,0.278211,0.151654,0.69
-,530,0.272221,0.268282,0.144425,0.89
-,531,0.277731,0.256501,0.136028,0.77
-,532,0.28566,0.246149,0.127998,0.87
-,533,0.29258,0.238515,0.119749,0.8
-,534,0.296005,0.234248,0.107021,0.84
-,535,0.296236,0.231352,0.093112,0.79
-,536,0.294139,0.223224,0.086701,0.86
-,537,0.293756,0.213943,0.081347,0.84
-,538,0.296041,0.206272,0.072418,0.95
-,539,0.299452,0.19643,0.065957,0.93
-,540,0.301179,0.185471,0.062411,0.86
-,541,0.300932,0.174522,0.061285,0.91
-,542,0.301822,0.164738,0.058876,0.89
